frame,id,class,xmin,ymin,xmax,ymax
28,5,person,1473,527,1522,603
28,6,person,143,347,180,424
28,7,person,1275,497,1331,557
28,8,person,927,482,762,214
28,9,person,-111,5,2005,1062
28,10,person,956,374,1007,434
28,12,person,1051,346,1102,423
28,13,person,1572,566,1659,703
28,14,person,67,134,77,144
28,15,person,1682,453,1729,559
28,17,person,931,559,1003,664
28,18,person,1814,969,1904,1078
28,19,person,1271,454,1341,520
28,20,person,54,120,70,149
28,23,person,1698,47,1728,89
29,1,person,292,228,326,285
29,2,person,600,289,636,360
29,3,person,1383,491,1438,556
29,4,person,282,343,324,427
29,5,person,1474,527,1521,601
29,6,person,144,346,183,428
29,7,person,1275,497,1331,557
29,8,person,924,478,751,196
29,9,person,-98,7,1990,1060
29,10,person,955,374,1006,434
29,12,person,1051,348,1102,423
29,13,person,1573,567,1659,703
29,14,person,68,134,77,144
29,15,person,1682,453,1729,559
29,17,person,929,558,1001,664
29,18,person,1811,968,1903,1078
29,19,person,1273,455,1340,519
29,20,person,53,120,70,149
29,23,person,1699,46,1728,89
30,1,person,293,230,326,285
30,2,person,601,289,636,359
30,3,person,1383,492,1437,556
30,4,person,284,344,326,428
30,5,person,1473,527,1521,601
30,6,person,147,350,183,423
30,7,person,1275,497,1331,557
30,8,person,921,473,741,179
30,9,person,-93,4,1981,1061
30,10,person,954,374,1007,435
30,12,person,1051,348,1102,424
30,13,person,1574,569,1658,702
30,14,person,68,135,78,144
30,15,person,1682,453,1729,559
30,17,person,928,557,999,661
30,18,person,1808,966,1902,1078
30,19,person,1273,455,1340,519
30,20,person,53,120,70,149
30,23,person,1699,46,1729,89
31,1,person,293,230,325,285
31,2,person,600,289,637,359
31,3,person,1383,492,1437,555
31,4,person,287,346,327,426
31,5,person,1474,528,1521,600
31,6,person,150,349,185,422
31,7,person,1276,501,1326,554
31,8,person,918,469,730,161
31,9,person,-84,4,1974,1061
31,10,person,953,374,1007,435
31,12,person,1051,348,1102,424
31,13,person,1574,569,1658,702
31,14,person,69,135,78,144
31,15,person,1682,453,1728,559
31,17,person,927,556,999,664
31,18,person,1805,964,1902,1078
31,19,person,1273,456,1339,518
31,20,person,53,120,70,149
31,23,person,1699,45,1729,89
32,1,person,293,231,325,286
32,2,person,600,289,637,359
32,3,person,1383,492,1437,555
32,4,person,288,347,329,428
32,5,person,1474,528,1521,600
32,6,person,152,350,186,419
32,7,person,1275,501,1326,554
32,8,person,916,465,719,143
32,9,person,-78,2,1972,1062
32,10,person,953,374,1007,436
32,12,person,1051,348,1102,424
32,13,person,1574,569,1658,702
32,14,person,70,135,79,144
32,15,person,1682,453,1728,559
32,17,person,927,555,998,663
32,18,person,1803,960,1902,1079
32,19,person,1272,456,1339,518
32,20,person,53,120,70,149
32,23,person,1700,45,1730,89
33,1,person,292,232,324,287
33,2,person,600,288,638,360
33,3,person,1383,492,1437,555
33,4,person,293,361,331,434
33,5,person,1474,528,1521,600
33,6,person,153,353,186,419
33,7,person,1274,502,1325,554
33,9,person,-71,3,1960,1061
33,10,person,952,374,1007,436
33,12,person,1051,348,1102,424
33,13,person,1574,569,1658,702
33,14,person,71,136,79,144
33,15,person,1681,453,1728,559
33,17,person,926,552,1000,667
33,18,person,1804,958,1903,1079
33,19,person,1272,456,1339,519
33,20,person,53,119,71,149
33,23,person,1700,45,1730,89
34,1,person,292,233,325,288
34,2,person,601,288,639,360
34,3,person,1383,492,1437,555
34,4,person,295,361,335,439
34,5,person,1474,528,1521,600
34,6,person,158,355,186,411
34,7,person,1274,502,1326,555
34,9,person,-60,4,1952,1059
34,10,person,952,374,1007,436
34,12,person,1051,348,1102,424
34,13,person,1574,569,1658,702
34,14,person,71,136,79,144
34,15,person,1681,453,1728,559
34,17,person,915,549,977,645
34,18,person,1795,955,1895,1079
34,19,person,1272,456,1339,519
34,20,person,53,119,71,150
34,23,person,1701,44,1731,89
35,1,person,292,233,325,289
35,2,person,601,287,640,360
35,3,person,1382,492,1437,555
35,4,person,296,359,338,441
35,5,person,1475,528,1521,600
35,6,person,160,356,187,410
35,7,person,1274,502,1326,555
35,9,person,-60,3,1945,1061
35,10,person,951,374,1008,438
35,12,person,1051,348,1102,425
35,13,person,1574,570,1658,702
35,15,person,1681,453,1728,559
35,17,person,911,548,971,640
35,18,person,1790,953,1891,1080
35,19,person,1272,456,1339,519
35,20,person,53,119,71,150
35,23,person,1701,44,1732,89
36,1,person,292,232,326,290
36,2,person,602,288,640,361
36,3,person,1382,492,1437,555
36,4,person,297,357,341,444
36,5,person,1475,528,1521,599
36,6,person,162,357,188,410
36,7,person,1274,502,1326,555
36,9,person,-52,3,1937,1058
36,10,person,951,374,1007,438
36,12,person,1051,349,1102,425
36,13,person,1574,570,1658,702
36,15,person,1681,453,1728,559
36,17,person,915,548,974,636
36,18,person,1788,951,1889,1080
36,19,person,1272,456,1339,519
36,20,person,53,119,71,150
36,23,person,1701,43,1732,89
36,26,person,1043,360,1110,443
37,1,person,293,232,326,290
37,2,person,602,288,641,361
37,3,person,1382,492,1437,555
37,4,person,299,359,343,445
37,5,person,1475,529,1521,599
37,6,person,164,358,189,409
37,7,person,1274,502,1326,554
37,9,person,-52,0,1940,1062
37,10,person,947,381,1013,456
37,12,person,1052,349,1102,425
37,13,person,1574,570,1658,702
37,15,person,1681,453,1728,559
37,17,person,916,547,977,638
37,18,person,1787,950,1887,1080
37,19,person,1272,456,1339,519
37,20,person,53,119,71,150
37,23,person,1702,43,1733,89
37,26,person,1042,359,1110,443
37,28,person,14,112,40,153
38,1,person,292,233,326,290
38,2,person,602,289,641,361
38,3,person,1382,492,1437,555
38,4,person,301,359,346,448
38,5,person,1475,529,1521,599
38,6,person,166,359,190,408
38,7,person,1273,501,1325,554
38,9,person,-51,0,1940,1067
38,10,person,950,378,1009,445
38,12,person,1052,349,1100,423
38,13,person,1574,570,1655,697
38,17,person,915,547,976,638
38,18,person,1784,949,1882,1080
38,19,person,1272,456,1339,519
38,20,person,53,119,71,150
38,23,person,1702,43,1733,88
38,26,person,1042,358,1110,443
38,28,person,16,118,38,151
38,30,person,569,191,589,233
39,1,person,292,232,326,290
39,2,person,602,289,641,362
39,3,person,1382,492,1437,555
39,4,person,303,358,348,448
39,5,person,1474,529,1520,599
39,6,person,168,361,191,407
39,7,person,1274,501,1326,553
39,9,person,-54,0,1943,1076
39,10,person,951,376,1007,439
39,12,person,1052,350,1100,423
39,13,person,1573,568,1655,699
39,17,person,910,546,974,640
39,18,person,1780,947,1878,1080
39,19,person,1272,456,1338,519
39,20,person,53,119,71,150
39,23,person,1702,42,1734,88
39,26,person,1041,358,1110,443
39,28,person,19,121,38,150
39,30,person,568,191,590,233
40,1,person,292,231,327,291
40,2,person,603,290,641,362
40,3,person,1381,492,1437,556
40,4,person,305,359,350,450
40,5,person,1473,529,1520,599
40,6,person,170,362,192,406
40,7,person,1274,501,1326,552
40,9,person,-45,0,1940,1074
40,10,person,952,376,1006,436
40,12,person,1052,350,1100,423
40,13,person,1571,567,1655,701
40,17,person,910,547,974,641
40,18,person,1778,945,1876,1080
40,19,person,1272,456,1338,519
40,20,person,53,118,71,150
40,23,person,1703,42,1734,88
40,26,person,1042,359,1109,443
40,28,person,19,119,41,151
40,30,person,568,190,589,233
41,1,person,292,231,327,291
41,2,person,603,290,642,362
41,3,person,1381,493,1436,556
41,4,person,307,362,350,448
41,5,person,1472,529,1519,599
41,6,person,172,363,193,405
41,7,person,1274,500,1325,552
41,9,person,-39,0,1938,1074
41,10,person,953,376,1006,435
41,12,person,1052,350,1100,423
41,13,person,1570,566,1654,702
41,17,person,908,544,974,640
41,18,person,1777,942,1874,1080
41,19,person,1274,456,1338,517
41,20,person,53,118,71,150
41,23,person,1703,41,1735,88
41,26,person,1041,359,1109,443
41,28,person,19,119,42,152
41,30,person,569,192,588,230
42,1,person,292,232,327,292
42,2,person,602,290,642,362
42,3,person,1380,493,1436,556
42,4,person,315,365,344,421
42,5,person,1471,529,1519,600
42,6,person,174,364,194,404
42,7,person,1274,500,1325,551
42,9,person,-37,0,1933,1074
42,10,person,954,377,1006,435
42,12,person,1052,350,1100,423
42,13,person,1569,566,1654,703
42,17,person,906,543,972,640
42,18,person,1775,940,1872,1080
42,19,person,1274,457,1338,516
42,20,person,20,117,44,156
42,23,person,1703,41,1735,88
42,26,person,1041,359,1109,443
42,28,person,20,120,42,152
42,30,person,569,192,588,229
43,1,person,292,231,327,292
43,2,person,602,290,643,363
43,3,person,1379,493,1436,558
43,4,person,315,367,354,440
43,5,person,1471,528,1519,601
43,6,person,176,366,195,403
43,7,person,1274,500,1326,552
43,9,person,-37,0,1926,1075
43,10,person,948,383,1014,456
43,12,person,1052,350,1100,423
43,13,person,1568,566,1653,703
43,17,person,903,540,971,642
43,18,person,1771,936,1869,1080
43,19,person,1274,457,1338,516
43,20,person,19,118,43,156
43,23,person,1704,41,1736,88
43,26,person,1041,358,1109,443
43,28,person,21,121,42,152
43,30,person,570,193,588,228
44,1,person,291,230,328,292
44,2,person,603,290,643,363
44,3,person,1378,492,1436,558
44,4,person,318,369,357,442
44,5,person,1471,528,1519,601
44,6,person,178,367,196,402
44,7,person,1274,499,1326,552
44,9,person,-36,0,1920,1076
44,10,person,947,385,1017,463
44,12,person,1052,350,1100,423
44,13,person,1569,567,1653,704
44,17,person,899,537,969,643
44,18,person,1766,934,1865,1080
44,19,person,1274,457,1338,516
44,20,person,19,120,42,156
44,23,person,1704,40,1737,88
44,26,person,1041,358,1109,443
44,28,person,22,122,42,152
44,30,person,571,193,588,227
45,1,person,291,230,328,293
45,2,person,603,290,643,363
45,3,person,1378,492,1436,559
45,4,person,319,375,363,458
45,5,person,1471,528,1518,601
45,6,person,180,368,197,402
45,7,person,1274,499,1326,552
45,9,person,-36,0,1919,1079
45,10,person,950,379,1011,447
45,12,person,1052,351,1100,423
45,13,person,1569,568,1652,703
45,17,person,898,537,967,642
45,18,person,1762,932,1861,1080
45,19,person,1274,457,1338,516
45,20,person,17,120,41,156
45,23,person,1705,40,1737,88
45,26,person,1041,358,1109,443
45,28,person,23,123,43,152
45,30,person,571,194,588,226
46,1,person,291,230,328,293
46,2,person,603,290,643,363
46,3,person,1378,492,1436,559
46,4,person,322,378,367,463
46,5,person,1470,528,1518,601
46,6,person,182,369,198,401
46,7,person,1274,499,1327,553
46,9,person,-29,0,1914,1077
46,10,person,946,383,1017,463
46,12,person,1052,351,1100,423
46,13,person,1569,569,1652,703
46,17,person,896,537,964,641
46,18,person,1759,930,1857,1080
46,19,person,1274,457,1337,516
46,20,person,16,120,40,156
46,23,person,1705,39,1738,88
46,26,person,1041,358,1109,443
46,28,person,23,123,43,152
46,30,person,571,194,588,226
47,1,person,292,229,329,294
47,2,person,603,290,643,363
47,3,person,1377,492,1436,560
47,4,person,323,377,370,467
47,5,person,1470,528,1518,601
47,6,person,184,371,198,400
47,7,person,1273,498,1327,554
47,9,person,-23,2,1912,1076
47,10,person,945,384,1019,469
47,12,person,1052,351,1100,423
47,13,person,1570,569,1653,702
47,17,person,895,539,962,640
47,18,person,1755,929,1854,1080
47,19,person,1275,457,1337,515
47,20,person,15,120,39,157
47,23,person,1705,39,1738,87
47,26,person,1040,358,1109,444
47,28,person,24,124,43,152
47,30,person,572,194,587,225
48,1,person,292,230,328,294
48,2,person,603,290,643,363
48,3,person,1377,491,1436,560
48,4,person,325,378,372,467
48,5,person,1470,528,1518,602
48,6,person,186,372,199,399
48,7,person,1273,498,1328,554
48,9,person,-12,5,1905,1070
48,10,person,945,384,1019,470
48,12,person,1052,351,1100,423
48,13,person,1571,570,1652,701
48,17,person,893,538,961,641
48,18,person,1753,928,1852,1080
48,19,person,1275,457,1337,515
48,20,person,14,120,38,157
48,23,person,1706,39,1739,87
48,26,person,1040,358,1109,444
48,28,person,25,125,43,151
48,30,person,572,195,587,224
48,33,person,176,377,214,473
49,1,person,293,230,328,294
49,2,person,603,290,643,363
49,3,person,1377,491,1436,560
49,4,person,328,380,375,469
49,5,person,1470,528,1518,602
49,6,person,188,373,200,398
49,7,person,1273,498,1328,554
49,9,person,-13,5,1903,1071
49,10,person,945,385,1020,471
49,12,person,1052,351,1100,423
49,13,person,1571,570,1652,701
49,17,person,892,537,960,640
49,18,person,1751,928,1849,1080
49,19,person,1275,457,1337,515
49,20,person,12,120,36,157
49,23,person,1706,38,1739,87
49,26,person,1040,358,1109,444
49,28,person,26,126,44,151
49,30,person,572,195,587,224
49,33,person,178,378,216,477
50,1,person,293,230,328,294
50,2,person,603,289,644,363
50,3,person,1377,491,1435,560
50,4,person,330,381,377,470
50,5,person,1470,528,1518,601
50,6,person,190,374,201,397
50,7,person,1273,498,1328,555
50,9,person,-12,5,1900,1070
50,10,person,945,385,1020,472
50,12,person,1052,351,1100,423
50,13,person,1571,570,1652,701
50,17,person,879,531,940,624
50,18,person,1750,928,1848,1080
50,19,person,1275,457,1337,515
50,20,person,11,120,35,157
50,23,person,1706,38,1740,87
50,26,person,1040,358,1108,444
50,28,person,27,127,44,151
50,30,person,572,195,587,223
50,33,person,179,379,217,476
51,1,person,293,230,328,295
51,2,person,604,289,644,362
51,3,person,1378,491,1436,560
51,4,person,331,381,380,473
51,5,person,1470,528,1518,601
51,6,person,192,376,202,396
51,7,person,1274,498,1327,555
51,9,person,-12,3,1898,1069
51,10,person,946,386,1020,472
51,12,person,1052,352,1100,423
51,13,person,1571,570,1652,700
51,17,person,880,527,941,620
51,18,person,1748,928,1846,1080
51,19,person,1275,458,1337,514
51,20,person,10,120,34,158
51,23,person,1707,37,1740,87
51,26,person,1040,358,1108,444
51,28,person,28,128,44,151
51,30,person,573,195,587,222
51,33,person,180,381,217,475
52,1,person,293,230,328,295
52,2,person,603,289,644,362
52,3,person,1378,491,1436,560
52,4,person,333,381,381,474
52,5,person,1471,528,1518,601
52,6,person,194,377,203,395
52,7,person,1274,498,1327,555
52,9,person,-8,4,1896,1068
52,10,person,946,386,1019,472
52,12,person,1052,352,1099,423
52,13,person,1571,570,1652,701
52,17,person,880,526,940,617
52,18,person,1751,927,1848,1080
52,19,person,1276,458,1336,514
52,20,person,8,120,33,158
52,23,person,1707,37,1741,87
52,26,person,1039,358,1108,444
52,28,person,29,129,45,151
52,30,person,573,196,587,222
52,33,person,182,381,220,477
